tid,task,dtnum
102_430000,一级乙等_湖南省,0
102_460000,一级乙等_海南省,1
102_500000,一级乙等_重庆市,18
102_510000,一级乙等_四川省,27
102_520000,一级乙等_贵州省,1
102_450000,一级乙等_广西壮族自治区,0
102_530000,一级乙等_云南省,0
102_540000,一级乙等_西藏自治区,0
102_610000,一级乙等_陕西省,1
102_630000,一级乙等_青海省,0
102_620000,一级乙等_甘肃省,0
102_650000,一级乙等_新疆维吾尔自治区,0
102_640000,一级乙等_宁夏回族自治区,0
103_110000,一级丙等_北京市,0
103_120000,一级丙等_天津市,0
103_130000,一级丙等_河北省,0
103_140000,一级丙等_山西省,0
103_150000,一级丙等_内蒙古自治区,1
103_210000,一级丙等_辽宁省,0
103_220000,一级丙等_吉林省,0
103_310000,一级丙等_上海市,0
103_330000,一级丙等_浙江省,0
103_230000,一级丙等_黑龙江省,0
103_320000,一级丙等_江苏省,0
103_340000,一级丙等_安徽省,0
103_360000,一级丙等_江西省,0
103_370000,一级丙等_山东省,0
103_410000,一级丙等_河南省,2
103_420000,一级丙等_湖北省,0
103_350000,一级丙等_福建省,0
103_430000,一级丙等_湖南省,0
103_440000,一级丙等_广东省,0
103_450000,一级丙等_广西壮族自治区,0
103_500000,一级丙等_重庆市,0
103_510000,一级丙等_四川省,0
103_460000,一级丙等_海南省,0
103_520000,一级丙等_贵州省,0
103_530000,一级丙等_云南省,0
103_540000,一级丙等_西藏自治区,0
103_610000,一级丙等_陕西省,0
103_620000,一级丙等_甘肃省,0
103_630000,一级丙等_青海省,0
103_650000,一级丙等_新疆维吾尔自治区,0
103_640000,一级丙等_宁夏回族自治区,0
100_110000,一级未定_北京市,9
100_130000,一级未定_河北省,1
100_120000,一级未定_天津市,3
100_140000,一级未定_山西省,2
100_210000,一级未定_辽宁省,1
100_150000,一级未定_内蒙古自治区,0
100_220000,一级未定_吉林省,0
100_230000,一级未定_黑龙江省,0
100_310000,一级未定_上海市,7
100_320000,一级未定_江苏省,4
100_330000,一级未定_浙江省,3
100_340000,一级未定_安徽省,1
100_350000,一级未定_福建省,22
100_360000,一级未定_江西省,1
100_370000,一级未定_山东省,87
100_410000,一级未定_河南省,4
100_420000,一级未定_湖北省,1
100_430000,一级未定_湖南省,0
100_450000,一级未定_广西壮族自治区,7
100_460000,一级未定_海南省,0
100_500000,一级未定_重庆市,109
100_510000,一级未定_四川省,82
100_440000,一级未定_广东省,26
100_530000,一级未定_云南省,0
100_540000,一级未定_西藏自治区,0
100_520000,一级未定_贵州省,1
100_610000,一级未定_陕西省,2
100_620000,一级未定_甘肃省,0
100_630000,一级未定_青海省,0
100_640000,一级未定_宁夏回族自治区,0
100_650000,一级未定_新疆维吾尔自治区,0
000_110000,未定级_北京市,1043
000_130000,未定级_河北省,1884
000_120000,未定级_天津市,585
000_140000,未定级_山西省,1295
000_150000,未定级_内蒙古自治区,13746
000_210000,未定级_辽宁省,1577
000_230000,未定级_黑龙江省,1062
000_220000,未定级_吉林省,647
000_320000,未定级_江苏省,2175
000_310000,未定级_上海市,471
000_340000,未定级_安徽省,1057
000_330000,未定级_浙江省,10536
000_360000,未定级_江西省,675
000_350000,未定级_福建省,951
000_370000,未定级_山东省,18352
000_410000,未定级_河南省,1453
000_420000,未定级_湖北省,1173
000_430000,未定级_湖南省,1169
000_440000,未定级_广东省,3671
000_450000,未定级_广西壮族自治区,1603
000_460000,未定级_海南省,5355
000_510000,未定级_四川省,6484
000_500000,未定级_重庆市,736
000_530000,未定级_云南省,1037
000_540000,未定级_西藏自治区,44
000_520000,未定级_贵州省,1291
000_620000,未定级_甘肃省,505
000_630000,未定级_青海省,181
000_610000,未定级_陕西省,1803
000_640000,未定级_宁夏回族自治区,184
000_650000,未定级_新疆维吾尔自治区,962
