tid,task,dtnum
230000_230203,黑龙江省_建华,30
230000_230205,黑龙江省_昂昂,4
230000_230204,黑龙江省_铁锋,18
230000_230206,黑龙江省_富拉,10
230000_230207,黑龙江省_碾子,3
230000_230208,黑龙江省_梅里,2
230000_230221,黑龙江省_龙江,154
230000_230223,黑龙江省_依安,1
230000_230224,黑龙江省_泰来,6
230000_230225,黑龙江省_甘南,5
230000_230227,黑龙江省_富裕,10
230000_230229,黑龙江省_克山,4
230000_230230,黑龙江省_克东,6
230000_230281,黑龙江省_讷河,9
230000_230231,黑龙江省_拜泉,8
230000_230103,黑龙江省_南岗,105
230000_230104,黑龙江省_道外,40
230000_230109,黑龙江省_松北,7
230000_230108,黑龙江省_平房,9
230000_230102,黑龙江省_道里,58
230000_230110,黑龙江省_香坊,46
230000_230112,黑龙江省_阿城,15
230000_230111,黑龙江省_呼兰,12
230000_230113,黑龙江省_双城,15
230000_230125,黑龙江省_宾县,11
230000_230123,黑龙江省_依兰,4
230000_230124,黑龙江省_方正,8
230000_230127,黑龙江省_木兰,9
230000_230126,黑龙江省_巴彦,8
230000_230128,黑龙江省_通河,6
230000_230129,黑龙江省_延寿,5
230000_230183,黑龙江省_尚志,15
230000_230184,黑龙江省_五常,16
620000_620802,甘肃省_崆峒,21
620000_620822,甘肃省_灵台,7
620000_620821,甘肃省_泾川,3
620000_620826,甘肃省_静宁,11
620000_620823,甘肃省_崇信,4
620000_620825,甘肃省_庄浪,2
620000_620881,甘肃省_华亭,7
610000_611021,陕西省_洛南,8
610000_611002,陕西省_商州,16
610000_611025,陕西省_镇安,1
610000_611022,陕西省_丹凤,6
610000_611024,陕西省_山阳,7
610000_611023,陕西省_商南,3
230000_232721,黑龙江省_呼玛,2
610000_611026,陕西省_柞水,7
230000_232701,黑龙江省_漠河,5
230000_232762,黑龙江省_松岭,0
230000_232722,黑龙江省_塔河,5
230000_232763,黑龙江省_新林,0
620000_620702,甘肃省_甘州,6
230000_232764,黑龙江省_呼中,0
620000_620721,甘肃省_肃南,3
620000_620722,甘肃省_民乐,2
620000_620723,甘肃省_临泽,3
620000_620725,甘肃省_山丹,7
620000_620621,甘肃省_民勤,2
230000_232761,黑龙江省_加格,12
620000_620602,甘肃省_凉州,10
620000_620622,甘肃省_古浪,3
620000_620623,甘肃省_天祝,2
620000_620724,甘肃省_高台,4
620000_620502,甘肃省_秦州,15
